movie_title,gross,budget,duration,facenumber_in_poster,imdb_score,num_critic_for_reviews,num_voted_users,num_user_for_reviews,movie_facebook_likes,director_facebook_likes,cast_total_facebook_likes
Bohemian Rhapsody,"433,000,000","52,000,000",134,1,8.2,381,"234,254","2,467","537,047",557,"473,671"
BlacKkKlansman,"25,592,685","15,000,000",136,1,7.5,384,"100,962",559,"82,227","759,763","24,262"
A Star Is Born,"208,108,682","36,000,000",134,2,7.9,405,"170,266","1,933","296,886","115,589","59,372,559"
The Favourite,"42,544,448","15,000,000",119,3,7.9,596,"44,708",340,"27,122","10,922","117,337"
Green Book,"42,526,091","23,000,000",130,2,8.3,469,"53,266",283,"38,793","9,389","157,068"
Roma,"3,300,000","15,000,000",135,6,8,655,"69,336",320,"113,395","7,318","114,072"
Black Panther,##########,"200,000,000",134,10,7.4,"2,737","457,226",627,"1,008,147","14,302","4,812,368"
Vice,"44,458,658","60,000,000",132,1,7.1,384,"28,138",227,"11,788",0,"209,324"
